"S1983-32882013000100002-scl","Stimulus affect valence may influence mapping-rule selection but does not reverse the spatial compatibility effect: reinterpretation of Conde et al. (2011)","Proctor, Robert W.","Psychology &amp; Neuroscience; 6(1); 3-6","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100002&lang=pt" 
"S1983-32882013000100003-scl","Priming effect of figures that represent external objects or human body parts","Oliveira, Felipe Santos de, Fraga Filho, Roberto S., Matsushima, Elton Hiroshi, Gawryszewski, Luiz G.","Psychology &amp; Neuroscience; 6(1); 7-13","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100003&lang=pt" 
"S1983-32882013000100007-scl","Mild environmental intervention in mother-infant interactions reduces social play behavior in rats","Karkow, Ana Raquel M., Lucion, Aldo B.","Psychology &amp; Neuroscience; 6(1); 39-43","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100007&lang=pt" 
"S1983-32882013000100009-scl","Processing of affective faces varying in valence and intensity in shy adults: an event-related fMRI study","Tatham, Erica L., Schmidt, Louis A., Beaton, Elliott A., Schulkin, Jay, Hall, Geoffrey B.","Psychology &amp; Neuroscience; 6(1); 57-65","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100009&lang=pt" 
"S1983-32882013000100011-scl","Effects of age and gender on performance on Conners&#039; Continuous Performance Test in Brazilian adolescents","Miranda, Mônica C., Rivero, Thiago S., Bueno, Orlando F. Amodeo","Psychology &amp; Neuroscience; 6(1); 73-78","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100011&lang=pt" 
"S1983-32882013000100015-scl","Temporal control in chained fixed-ratio, fixed-interval schedules","Todorov, João Claudio, Couto, Kalliu Carvalho, Carvalho, Lucas Couto de","Psychology &amp; Neuroscience; 6(1); 105-108","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100015&lang=pt" 
"S1983-32882013000100013-scl","Subjective memory and strategy use in mild cognitive impairment and healthy aging","Brum, Paula Schimidt, Yassuda, Mônica Sanches, Forlenza, Orestes Vicente","Psychology &amp; Neuroscience; 6(1); 89-94","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100013&lang=pt" 
"S1983-32882013000100014-scl","Development and test-retest reliability of the Food Photograph Scale for Brazilian adults","Laus, Maria Fernanda, Lima, Natalia Louise, Costa, Telma Maria Braga, Barbosa, Marina Rodrigues, Nascimento, Paula Carolina Barboni Dantas, Almeida, Sebastião de Sousa","Psychology &amp; Neuroscience; 6(1); 95-104","Psychology &amp; Neuroscience","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-32882013000100014&lang=pt" 
"S1646-69182013000200003-prt","Transposição cervical de tubo gástrico na reconstrução digestiva após esofagectomia por cancro do esófago - detalhes técnicos","Costa, Paulo, Esteves, Rui, Lages, Patrícia, Ferreira, Filipa","Revista Portuguesa de Cirurgia; (25); 9-21","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000200003&lang=pt" 
"S1646-69182013000200004-prt","Acção anti-cancerígena da Quercetina no Carcinoma Hepatocelular: o papel do GLUT-1","Brito, AF, Ribeiro, M, Abrantes, AM, Gonçalves, AC, Sarmento-Ribeiro, AB, Tralhão, JG, Botelho, MF","Revista Portuguesa de Cirurgia; (25); 23-30","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000200004&lang=pt" 
"S1646-69182013000200006-prt","Os Ambientes e as Espécies","Andrade, A. Mega de","Revista Portuguesa de Cirurgia; (25); 35-41","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000200006&lang=pt" 
"S1646-69182013000200008-prt","A Cirurgia Geral e os Cirurgiões do Hospital de São José, em Lisboa no início do Século XX","Mora, Luiz Damas","Revista Portuguesa de Cirurgia; (25); 51-72","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000200008&lang=pt" 
"S1646-69182013000200001-prt","Página dos editores","Penedo, Jorge","Revista Portuguesa de Cirurgia; (25); 3-4","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000200001&lang=pt" 
