"S0870-82312015000200004-prt","Avaliação psicológica de jovens com comportamentos desviantes","Nunes, Laura M., Caridade, Sónia, Oliveira, Ana, Costa, André, Carvalho, Cristiana, Guerra, Lara","Análise Psicológica; 33(2); 179-193","Análise Psicológica","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312015000200004&lang=pt" 
"S0870-82312015000200001-prt","Habilidades sociais e adaptação à universidade: Convergências e divergências dos construtos","Soares, Adriana Benevides, Prette, Zilda Aparecida Pereira Del","Análise Psicológica; 33(2); 139-151","Análise Psicológica","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312015000200001&lang=pt" 
"S0870-82312015000200002-prt","Attributions of causes for unemployment by unemployed workers","Bendassolli, Pedro F., Gondim, Sonia Maria Guedes, Coelho-Lima, Fellipe","Análise Psicológica; 33(2); 153-164","Análise Psicológica","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312015000200002&lang=pt" 
"S0085-56262015000200089-scl","Biology and reproductive capacity of Spodoptera eridania (Cramer) (Lepidoptera, Noctuidae) in different soybean cultivars","Favetti, Bruna Magda, Butnariu, Alessandra Regina, Foerster, Luís Amilton","Revista Brasileira de Entomologia; 59(2); 89-95","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000200089&lang=pt" 
"S1518-70122015000100014-scl","Luiz Gonzaga e alimentação sertaneja: as práticas alimentares representadas nas letras musicais","Sobral, Moacir Ribeiro Barreto","Interações (Campo Grande); 16(1); 155-162","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100014&lang=pt" 
"S1518-70122015000100012-scl","Bolivianos no Brasil: migração internacional pelo corredor fronteiriço Puerto Quijarro (BO)/Corumbá (MS)","Araujo, Ana Paula Correia de, Filartigas, Danilo Magno Espíndola, Carvalho, Luciani Coimbra de","Interações (Campo Grande); 16(1); 131-141","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100012&lang=pt" 
"S1518-70122015000100016-scl","A proposta de um quadro norteador de pesquisa como exercício de construção do objeto de estudo","Araújo, Júlio, Pimenta, Alcilene Aguiar, Costa, Sayonara","Interações (Campo Grande); 16(1); 175-188","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100016&lang=pt" 
"S1518-70122015000100015-scl","Tecnologias sociais para o desenvolvimento da pecuária leiteira no Assentamento Rural Rio Feio em Guia Lopes da Laguna, MS, Brasil","Simões, Andre Rozemberg Peixoto, Oliveira, Marcus Vinicius Morais de, Lima-Filho, Dario de Oliveira","Interações (Campo Grande); 16(1); 163-173","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100015&lang=pt" 
"S1518-70122015000100018-scl","Estrategias institucionales de &quot;vinculación universitaria&quot; orientadas al desarrollo local. Reflexiones a partir de un estudio de caso","Di Meglio, M. Fernanda, Harispe, Andres","Interações (Campo Grande); 16(1); 203-217","Interações (Campo Grande)","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100018&lang=pt" 
"S1518-70122015000100011-scl","Robótica na agricultura","Hackenhaar, Neusa Maria, Hackenhaar, Celso, Abreu, Yolanda Vieira de","Interações (Campo Grande); 16(1); 119-129","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100011&lang=pt" 
"S1518-70122015000100002-scl","A indicação geográfica de produtos: um estudo sobre sua contribuição econômica no desenvolvimento territorial","Maiorki, Giovane José, Dallabrida, Valdir Roque","Interações (Campo Grande); 16(1); 13-25","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100002&lang=pt" 
"S1518-70122015000100003-scl","Utilização da técnica da análise de clusters ao emprego da indústria criativa entre 2000 e 2010: estudo da Região do Consinos, RS","Bem, Judite Sanson de, Giacomini, Nelci Maria Richter, Waismann, Moisés","Interações (Campo Grande); 16(1); 27-41","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100003&lang=pt" 
"S1518-70122015000100006-scl","Etnobotânica: um instrumento para valorização e identificação de potenciais de proteção do conhecimento tradicional","Rocha, Joyce Alves, Boscolo, Odara Horta, Fernandes, Lucia Regina Rangel de Moraes Valente","Interações (Campo Grande); 16(1); 67-74","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100006&lang=pt" 
