"S0188-252X2013000200013-mex","Filosofía y comunicación, diálogos, encuentros y posibilidades","González Reyes, Rodrigo","Comunicación y sociedad; (20); 249-253","Comunicación y sociedad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2013000200013&lang=pt" 
"S1794-47242013000300005-col","Práticas de cuidado em saúde mental no Brasil: análise a partir do conceito de cidadania","Pires, Ronaldo Rodrigues, Ximenes, Verônica Morais, Nepomuceno, Bárbara Barbosa","Avances en Psicología Latinoamericana; 31(3); 507-521","Avances en Psicología Latinoamericana","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300005&lang=pt" 
"S1794-47242013000300006-col","Comer para existir: trauma, oralidade e contornos do Eu","Klautau, Perla, Winograd, Monah, Campos, Flávia Sollero-De-","Avances en Psicología Latinoamericana; 31(3); 522-531","Avances en Psicología Latinoamericana","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300006&lang=pt" 
"S1794-47242013000300007-col","Propiedades psicométricas del Cuestionario de Salud General de Goldberg GHQ-12 en una institución hospitalaria de la ciudad de Medellín","Villa G., Isabel Cristina, Zuluaga Arboleda, Crammily, Restrepo Roldan, Luisa Fernanda","Avances en Psicología Latinoamericana; 31(3); 532-545","Avances en Psicología Latinoamericana","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300007&lang=pt" 
"S1794-47242013000300008-col","Predictores psicolingüísticos de la adquisición y aprendizaje del inglés como segunda lengua","Arango Tobón, Olber Eduardo, Puerta Lopera, Isabel Cristina, Montoya Zuluaga, Paula Andrea, Sánchez Duque, José Wilmar","Avances en Psicología Latinoamericana; 31(3); 546-555","Avances en Psicología Latinoamericana","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300008&lang=pt" 
"S1794-47242013000300009-col","Desarrollo de conocimiento geométrico euclidiano y uso de mapas","Cortés Arboleda, Silvana, Sandoval Valencia, Silvia, Otálora Sevilla, Yenny","Avances en Psicología Latinoamericana; 31(3); 556-574","Avances en Psicología Latinoamericana","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300009&lang=pt" 
"S1794-47242013000300012-col","Uso problemático de Internet en una muestra de estudiantes universitarios colombianos","Puerta-Cortés, Diana Ximena, Carbonell, Xavier","Avances en Psicología Latinoamericana; 31(3); 620-631","Avances en Psicología Latinoamericana","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300012&lang=pt" 
"S1794-47242013000300011-col","Las cuestiones de dominio intersujeto e intrasujeto en el contenido de las concepciones epistemológicas en docentes universitarios","García, María B., Mateos Sanz, Mar","Avances en Psicología Latinoamericana; 31(3); 586-619","Avances en Psicología Latinoamericana","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300011&lang=pt" 
"S1794-47242013000300010-col","Teatro e desenvolvimento psicológico infantil","Porto, Andreia Anna Amaral, Kafrouni, Roberta","Avances en Psicología Latinoamericana; 31(3); 575-585","Avances en Psicología Latinoamericana","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-47242013000300010&lang=pt" 
"S0101-31572013000400001-scl","Liberal versus neo-developmental convention to growth: why has Brazil shown a poor performance since the 1980s?","Nassif, André, Feijó, Carmem","Revista de Economia Política; 33(4); 555-576","Revista de Economia Política","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572013000400001&lang=pt" 
"S0101-31572013000400002-scl","Autonomy of the state and development in the democratic capitalism","Ianoni, Marcus","Revista de Economia Política; 33(4); 577-598","Revista de Economia Política","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572013000400002&lang=pt" 
"S0101-31572013000400009-scl","Estudo da complementaridade do comércio entre o Brasil e o Japão com vistas a um acordo de livre comércio","Miyazaki, Silvio Y. M., Hamaguchi, Nobuaki","Revista de Economia Política; 33(4); 692-703","Revista de Economia Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572013000400009&lang=pt" 
"S0101-31572013000400004-scl","Instituições e crescimento econômico: os modelos teóricos de Thorstein Veblen e Douglass North","Lopes, Herton Castiglioni","Revista de Economia Política; 33(4); 619-637","Revista de Economia Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572013000400004&lang=pt" 
"S0101-31572013000400005-scl","Democracy over governance","Correa, Amelia, Correa, Romar","Revista de Economia Política; 33(4); 638-648","Revista de Economia Política","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572013000400005&lang=pt" 
