"S1852-38622008000200002-arg","Surgical treatment of patients with heart failure through myocardial revascularization, ventricular reconstruction, and mitral valve surgery","Buffolo, Enio","Insuficiencia cardíaca; 3(2); 57-59","Insuficiencia cardíaca","Inglês","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200002&lang=pt" 
"S1852-38622008000200003-arg","Utilidad del bosentan en la hipertensión pulmonar tromboembólica crónica: Estudio BENEFIT","Kaplinsky, Edgardo J.","Insuficiencia cardíaca; 3(2); 63-64","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200003&lang=pt" 
"S1852-38622008000200004-arg","Insuficiencia cardíaca: análisis observacional de base de datos","Bonafede, Roberto J., Mosso, Gastón F. R.","Insuficiencia cardíaca; 3(2); 65-71","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200004&lang=pt" 
"S1852-38622008000200005-arg","Six-minute walk test and quality-of-life in heart failure: a correlative study with a Brazilian sample","Santos, Jefferson J. A., Brofman, Paulo R. S.","Insuficiencia cardíaca; 3(2); 72-75","Insuficiencia cardíaca","Inglês","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200005&lang=pt" 
"S1852-38622008000200006-arg","¿Deben todos los pacientes con fracción de eyección menor del 30% recibir un desfibrilador implantable?","Concepción, Roberto","Insuficiencia cardíaca; 3(2); 80-84","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200006&lang=pt" 
"S1852-38622008000200007-arg","Cardiac transplantation for Chagas&#039; disease","Bacal, Fernando, Bocchi, Edimar Alcides","Insuficiencia cardíaca; 3(2); 85-87","Insuficiencia cardíaca","Inglês","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200007&lang=pt" 
"S1852-38622008000200008-arg","Miocardio no compactado","Arias, Laura","Insuficiencia cardíaca; 3(2); 91-95","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200008&lang=pt" 
"S1852-38622008000200009-arg","Receptores beta adrenérgicos e insuficiencia cardíaca","Tacchi, Héctor H.","Insuficiencia cardíaca; 3(2); 96-99","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200009&lang=pt" 
"S1852-38622008000200010-arg","Perspectivas de la terapia de resincronización cardíaca en pacientes con insuficiencia cardíaca","Rabinovich, Rafael","Insuficiencia cardíaca; 3(2); 100-101","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200010&lang=pt" 
"S1852-38622008000200011-arg","Treprostinil en el tratamiento de la hipertensión arterial pulmonar","Gómez Sánchez, Miguel Angel","Insuficiencia cardíaca; 3(2); 102-104","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200011&lang=pt" 
"S1852-38622008000200012-arg","A la Dra. Pilar Nieto de Alderete","Schapachnik, Edgardo","Insuficiencia cardíaca; 3(2); 105-105","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200012&lang=pt" 
"S1852-38622008000200013-arg","Insuficiencia cardíaca, disfunción renal y anemia: síndrome cardiorrenal","Bichara, Valentina M.","Insuficiencia cardíaca; 3(2); 105-105","Insuficiencia cardíaca","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622008000200013&lang=pt" 
"S1657-62762008000100011-col","Reseña bibliográfica","","Pensamiento &amp; Gestión; (24); 304-306","Pensamiento &amp; Gestión","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-62762008000100011&lang=pt" 
"S1657-62762008000100010-col","El patrón de los flujos de inversión extranjera directa en los países de América Latina (1991-2005)","Moreno Meza, Néstor","Pensamiento &amp; Gestión; (24); 256-273","Pensamiento &amp; Gestión","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-62762008000100010&lang=pt" 
"S1657-62762008000100002-col","Predicción del tipo de cambio peso-dólar utilizando Redes Neuronales Artificiales (rna)","Zapata Garrido, Luis Alberto, Díaz Mojica, Hugo Fabián","Pensamiento &amp; Gestión; (24); 29-42","Pensamiento &amp; Gestión","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-62762008000100002&lang=pt" 
