"S1415-47572012000100016-scl","The genetic structure and mating system of Acrocomia aculeata (Arecaceae)","Abreu, Aluana Gonçalves, Priolli, Regina Helena Geribello, Azevedo-Filho, Joaquim Adelino, Nucci, Stella Maris, Zucchi, Maria Imaculada, Coelho, Ricardo Marques, Colombo, Carlos Augusto","Genetics and Molecular Biology; 35(1); 116-121","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100016&lang=pt" 
"S1415-47572012000100014-scl","Population genetic structure of Sisyrinchium micranthum Cav. (Iridaceae) in Itapuã State Park, Southern Brazil","Tacuatiá, Luana Olinda, Eggers, Lilian, Kaltchuk-Santos, Eliane, Souza-Chies, Tatiana T.","Genetics and Molecular Biology; 35(1); 99-105","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100014&lang=pt" 
"S1415-47572012000100013-scl","Molecular characterization of MHC-DRB cDNA in water buffalo (Bubalus bubalis)","Naskar, Soumen, Deb, Sitangsu M., Niranjan, Saket K., Kumar, Subodh, Sharma, Deepak, Sakaram, Durgam, Sharma, Arjava","Genetics and Molecular Biology; 35(1); 95-98","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100013&lang=pt" 
"S1415-47572012000100011-scl","Sequence variation in the melanocortin-1 receptor (MC1R) pigmentation gene and its role in the cryptic coloration of two South American sand lizards","Corso, Josmael, Gonçalves, Gislene L., Freitas, Thales R.O. de","Genetics and Molecular Biology; 35(1); 81-87","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100011&lang=pt" 
"S1415-47572012000100019-scl","Microbial diversity of soils on the banks of the Solimões and Negro rivers, state of Amazonas, Brazil","Santos, Ellen Karla Nobre dos, Honda, Rubens Tomio, Nozawa, Sérgio Ricardo, Ferreira-Nozawa, Monica Stropa","Genetics and Molecular Biology; 35(1); 134-141","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100019&lang=pt" 
"S1415-47572012000100007-scl","Medium-sized deletion in the BRCA1 gene: limitations of Sanger sequencing and MLPA analyses","Herman, Sandra, Varga, Dominic, Deissler, Heidrun L., Kreienberg, Rolf, Deissler, Helmut","Genetics and Molecular Biology; 35(1); 53-56","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100007&lang=pt" 
"S1415-47572012000100028-scl","In memory of James F. Crow (1916-2012), a life dedicated to population genetics; with an updated list of his publications","Otto, Paulo A.","Genetics and Molecular Biology; 35(1); 200-201","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100028&lang=pt" 
"S1415-47572012000100021-scl","Xylella fastidiosa comparative genomic database is an information resource to explore the annotation, genomic features, and biology of different strains","Varani, Alessandro M., Monteiro-Vitorello, Claudia B., Almeida, Luiz G.P. de, Souza, Rangel C., Cunha, Oberdan L., Lima, Wanessa C., Civerolo, Edwin, Sluys, Marie-Anne Van, Vasconcelos, Ana T.R.","Genetics and Molecular Biology; 35(1); 149-152","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100021&lang=pt" 
"S1415-47572012000100029-scl","","","Genetics and Molecular Biology; 35(1); 202-202","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100029&lang=pt" 
"S1415-47572012000100023-scl","The cytotoxic and growth inhibitory effects of palladium(II) complexes on MDA-MB-435 cells","Campanella, Nathália Cristina, Demartini, Mariana da Silva, Torres, Claudia, Almeida, Eduardo Tonon de, Gouvêa, Cibele Marli Cação Paiva","Genetics and Molecular Biology; 35(1); 159-163","Genetics and Molecular Biology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572012000100023&lang=pt" 
