"S2074-77052011000200005-sza","Overcoming modernity&#039;s individualism: Becoming a community of peace in the face of violence","Suderman, Andrew G.","Verbum et Ecclesia; 32(2); 1-7","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200005&lang=pt" 
"S2074-77052011000200002-sza","The reconciliatory role of Holy Communion in the Methodist tradition","Bentley, Wessel","Verbum et Ecclesia; 32(2); 1-6","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200002&lang=pt" 
"S2074-77052011000200003-sza","The role of the Old Testament in a violent world","Meyer, Esias E.","Verbum et Ecclesia; 32(2); 1-8","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200003&lang=pt" 
"S2074-77052011000200001-sza","Seeking the good (peace) of the republic: The violence against and of difference in defining the public space","Meylahn, Johann-Albrecht","Verbum et Ecclesia; 32(2); 1-10","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200001&lang=pt" 
"S2074-77052011000200008-sza","Violence as development? A challenge to the church","Landman, Christina","Verbum et Ecclesia; 32(2); 1-6","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200008&lang=pt" 
"S2074-77052011000200009-sza","Overcoming violence - a basic task of Christian churches","Huber, Wolfgang","Verbum et Ecclesia; 32(2); 1-7","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000200009&lang=pt" 
"S2074-77052011000100040-sza","Patristische bezüge zu Moses","Stenschke, Christoph","Verbum et Ecclesia; 32(1); 1-3","Verbum et Ecclesia","Alemão","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000100040&lang=pt" 
"S2074-77052011000100036-sza","From Pentecost to Patmos: Acts to Revelation. Introduction and Survey","Stenschke, Christoph","Verbum et Ecclesia; 32(1); 1-2","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000100036&lang=pt" 
"S2074-77052011000100037-sza","Introduction to the prophets","Cronjé, Stephanus I.","Verbum et Ecclesia; 32(1); 1-1","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000100037&lang=pt" 
"S2074-77052011000100034-sza","A vision for the sending of the church in Botswana","Henry, Desmond","Verbum et Ecclesia; 32(1); 1-8","Verbum et Ecclesia","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2074-77052011000100034&lang=pt" 
