"S1909-24742010000200011-col","APORTES DE LA SOCIOLOGÍA AL ESTUDIO DE LA ALIMENTACIÓN FAMILIAR","FRANCO PATIÑO, SANDRA MILENA","Luna Azul; (31); 139-155","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200011&lang=pt" 
"S1909-24742010000200010-col","INSERCIÓN DEL MERCADEO VERDE EN PRÁCTICAS EMPRESARIALES EN COLOMBIA: CASOS DE ESTUDIO","ECHEVERRI CAÑAS, LINA MARÍA","Luna Azul; (31); 122-138","Luna Azul","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-24742010000200010&lang=pt" 
"S1025-55832010000400009-per","Hipertensión arterial en diferentes edades de la mujer","Pacheco-Romero, José","Anales de la Facultad de Medicina; 71(4); 257-264","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400009&lang=pt" 
"S1025-55832010000400004-per","Hipertensión arterial: aspectos genéticos","Quiroga de Michelena, María Isabel","Anales de la Facultad de Medicina; 71(4); 231-235","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400004&lang=pt" 
"S1025-55832010000400005-per","Clínica de la hipertensión arterial, para el médico general","Vidalón-Fernández, Armando","Anales de la Facultad de Medicina; 71(4); 237-239","Anales de la Facultad de Medicina","Espanhol","2010","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832010000400005&lang=pt" 
"S1851-31232010000200001-arg","Pertenencia y exclusión en el Museo Histórico Nacional de Buenos Aires y el Museo de Trelew en tiempos del Bicentenario","Bohoslavsky, Ernesto, González de Oleaga, Marisa, Di Liscia, María Silvia","Revista Pilquen; (13); -","Revista Pilquen","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232010000200001&lang=pt" 
"S1851-31232010000200002-arg","Los senderos del estudio sobre los partidos políticos y su derrotero en América Latina","Lucca, Juan Bautista","Revista Pilquen; (13); -","Revista Pilquen","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232010000200002&lang=pt" 
"S1851-31232010000200003-arg","Breves notas sobre el concepto de régimen social de acumulación y su pertinencia actual","Nogueira, María Elena","Revista Pilquen; (13); -","Revista Pilquen","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232010000200003&lang=pt" 
"S1851-31232010000200004-arg","La cuestión del idioma en los años veinte y el problema del lunfardo: a propósito de una encuesta del diario Crítica","Oliveto, Mariano","Revista Pilquen; (13); -","Revista Pilquen","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232010000200004&lang=pt" 
"S1851-31232010000200005-arg","Narrativa de viajes, nación y alteridad: El otro-indígena en los relatos de viaje de Francisco P. Moreno (1872-1879)","Risso, Julio Leandro","Revista Pilquen; (13); -","Revista Pilquen","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232010000200005&lang=pt" 
"S1851-31232010000200006-arg","Contratismo de maquinaria agrícola en la región pampeana: Organización del trabajo y estrategias de capitalización","Muzlera, José","Revista Pilquen; (13); -","Revista Pilquen","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232010000200006&lang=pt" 
"S1851-31232010000200007-arg","La importancia de la educación en el desarrollo: la Teoría del Capital Humano y el Perfil Edad - Ingresos por Nivel Educativo en Viedma y Carmen de Patagones, Argentina","Herrera, Soledad","Revista Pilquen; (13); -","Revista Pilquen","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232010000200007&lang=pt" 
"S1851-31232010000200008-arg","Perfil de los integrantes y presidentes de las juntas vecinales de la ciudad de Viedma","Álvarez, Mabel","Revista Pilquen; (13); -","Revista Pilquen","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232010000200008&lang=pt" 
